id,contact,email,institute,orcid,project_1,project_2,pathogen_1,pathogen_2,pathogen_3,skill_1,skill_2,skill_3,skill_4
1,Alexander Buse,Alexander.Buse@test.de,18,https://orcid.org/0000-0002-7683-0452,3,,10,23,5,46,34,,
2,Roland Picone,Roland.Picone@test.de,28,https://orcid.org/0000-0001-7655-2459,1,4,9,,,28,,,
3,Serena Roux,Serena.Roux@test.de,41,https://orcid.org/0000-0002-7683-0452,4,1,8,,,69,30,38,
4,Antonio Gault,Antonio.Gault@test.de,10,https://orcid.org/0000-0001-7655-2459,3,,21,23,,71,84,101,62
5,Philipp Cassady,Philipp.Cassady@test.de,31,https://orcid.org/0000-0001-7655-2459,4,,1,,,109,33,23,47
6,Ammar Messenger,Ammar.Messenger@test.de,8,https://orcid.org/0000-0002-7683-0452,5,,12,,,91,5,59,27
7,Federico Squire,Federico.Squire@test.de,34,https://orcid.org/0000-0001-7655-2459,2,1,17,2,,32,81,3,53
8,Paolo Neptune,Paolo.Neptune@test.de,20,https://orcid.org/0000-0001-7655-2459,2,,1,14,3,106,65,96,
9,Jordi Towers,Jordi.Towers@test.de,35,https://orcid.org/0000-0001-7655-2459,5,,17,,,29,102,87,16
10,Carole Fielder,Carole.Fielder@test.de,23,https://orcid.org/0000-0002-7683-0452,4,,21,8,,86,108,,
11,Jan-Willem Arvizo,Jan-Willem.Arvizo@test.de,27,https://orcid.org/0000-0002-7683-0452,1,,21,4,8,64,102,11,
12,Lucia Ryland,Lucia.Ryland@test.de,10,https://orcid.org/0000-0001-7655-2459,6,1,7,23,2,99,79,91,109
13,Cedric Hepworth,Cedric.Hepworth@test.de,23,https://orcid.org/0000-0001-7655-2459,3,,10,6,18,76,36,1,15
14,Alex Ku,Alex.Ku@test.de,44,https://orcid.org/0000-0001-7655-2459,2,,16,12,,16,28,101,
15,Philip Nilsen,Philip.Nilsen@test.de,54,https://orcid.org/0000-0002-7683-0452,2,6,22,,,43,1,14,95
16,Manoj Bartee,Manoj.Bartee@test.de,17,https://orcid.org/0000-0001-7655-2459,6,,17,2,10,42,15,66,
17,Nick Bradley,Nick.Bradley@test.de,32,https://orcid.org/0000-0002-7683-0452,4,2,7,6,11,93,10,16,31
18,Stuart Kittleson,Stuart.Kittleson@test.de,41,https://orcid.org/0000-0001-7655-2459,1,5,16,2,11,66,,,
19,Fran�ois Kissinger,Fran�ois.Kissinger@test.de,13,https://orcid.org/0000-0001-7655-2459,5,,21,16,,31,40,82,3
20,Jen Giroux,Jen.Giroux@test.de,52,https://orcid.org/0000-0002-7683-0452,3,2,14,,,20,,,
21,Petr Hodson,Petr.Hodson@test.de,29,https://orcid.org/0000-0002-7683-0452,2,3,5,,,66,71,68,48
22,Michael Gil,Michael.Gil@test.de,29,https://orcid.org/0000-0001-7655-2459,7,,19,,,20,82,75,
23,Gildas Vale,Gildas.Vale@test.de,30,https://orcid.org/0000-0001-7655-2459,4,,9,23,,88,38,42,21
24,Asis Meiners,Asis.Meiners@test.de,10,https://orcid.org/0000-0001-7655-2459,1,7,1,15,4,95,,,
25,Niklas Ehmann,Niklas.Ehmann@test.de,22,https://orcid.org/0000-0002-7683-0452,2,4,13,14,,87,,,
26,Sergei Bondi,Sergei.Bondi@test.de,17,https://orcid.org/0000-0002-7683-0452,7,,21,,,16,37,102,101
27,Friederike Halfacre,Friederike.Halfacre@test.de,11,https://orcid.org/0000-0001-7655-2459,6,,18,,,7,93,,
28,Mark Mullen,Mark.Mullen@test.de,36,https://orcid.org/0000-0001-7655-2459,3,,17,9,,14,10,56,58
29,Yi Munn,Yi.Munn@test.de,50,https://orcid.org/0000-0001-7655-2459,5,7,4,8,17,106,26,41,
30,Sven Doe,Sven.Doe@test.de,48,https://orcid.org/0000-0002-7683-0452,7,,23,5,1,71,26,17,
31,Andrea Debartolo,Andrea.Debartolo@test.de,32,https://orcid.org/0000-0002-7683-0452,5,2,15,12,9,97,84,,
32,Stian Shock,Stian.Shock@test.de,22,https://orcid.org/0000-0002-7683-0452,4,,21,3,,45,,,
33,Frederik Marcin,Frederik.Marcin@test.de,9,https://orcid.org/0000-0001-7655-2459,6,4,22,,,98,4,,
34,Bj�rn Espey,Bj�rn.Espey@test.de,24,https://orcid.org/0000-0002-7683-0452,3,1,23,2,5,21,60,,
35,Marco Bahena,Marco.Bahena@test.de,14,https://orcid.org/0000-0002-7683-0452,2,6,19,22,21,27,42,99,61
